"Feature_ID","Symbol"
"BOK-AS1","BOK-AS1"
"SNORA70E","SNORA70E"
"NPPA-AS1","NPPA-AS1"
"MIR181A2HG","MIR181A2HG"
"BACE1-AS","BACE1-AS"
"GRIK1-AS2","GRIK1-AS2"
"PARP2","PARP2"
"ZBED6","ZBED6"
"PARP3","PARP3"
"CDH6","CDH6"
"TOM1L1","TOM1L1"
"ZNF33BP1","ZNF33BP1"
"HMGXB4","HMGXB4"
"LINC02532","LINC02532"
"MIR4300","MIR4300"
"MIR3128","MIR3128"
"MIR4274","MIR4274"
"MIR3160-1","MIR3160-1"
"MIR4287","MIR4287"
"MIR4319","MIR4319"
"MIR3188","MIR3188"
"MIR3183","MIR3183"
"MIR1193","MIR1193"
"MIR4317","MIR4317"
"MIR3074","MIR3074"
"MIR1233-2","MIR1233-2"
"MIR514B","MIR514B"
"MIR4316","MIR4316"
"MIR3182","MIR3182"
"MIR4301","MIR4301"
"MIR3123","MIR3123"
"MIR4318","MIR4318"
"MIR4285","MIR4285"
"MIR3136","MIR3136"
"MIR4292","MIR4292"
