Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00231,143.009613,1.417082,,,,,,,,20,20,100,100,0,0,0
neg_00233,96.959940,6.608333,,,,,,,,20,20,100,100,0,0,0
neg_00234,115.014716,4.586863,,,,,,,,18,20,90,100,0,0,0
neg_00235,409.235439,1.249222,,,,,,,,20,20,100,100,0,0,0
neg_00236,128.035098,2.919683,5-Oxo-D-Proline;5-Oxo-L-Proline,5-Oxo-D-Proline|5-Oxo-L-Proline,1A|1A,C5H7NO3|C5H7NO3,C02237|C01879,|HMDB0000267,439685|7405,20,20,100,100,0,1,1
neg_00237,250.951013,3.354674,,,,,,,,20,20,100,100,0,0,0
neg_00238,171.006144,5.147862,Sn-glycerol 3-phosphate;Glycerol 2-phosphate,Sn-glycerol 3-phosphate|Glycerol 2-phosphate,1A|1A,C3H9O6P|C3H9O6P,C00093|C02979,HMDB0000126|HMDB0002520,439162|2526,5,20,25,100,0,1,1
neg_00239,318.931474,3.066948,,,,,,,,20,20,100,100,0,0,0
neg_00240,169.055178,4.269505,,,,,,,,20,20,100,100,0,0,0
neg_00241,153.019064,2.062211,"2,3-Dihydroxybenzoate;2,5-Dihydroxybenzoate","2,3-Dihydroxybenzoate|2,5-Dihydroxybenzoate",1A|1A,C7H6O4|C7H6O4,C00196|C00628,HMDB0000397|HMDB0000152,19|3469,20,20,100,100,0,1,1
neg_00242,271.003581,4.931374,,,,,,,,18,20,90,100,0,0,0
neg_00243,173.008832,6.689599,,,,,,,,11,20,55,100,0,0,0
neg_00244,171.960159,13.946121,,,,,,,,20,20,100,100,0,0,0
neg_00245,546.823997,13.943471,,,,,,,,20,20,100,100,0,0,0
neg_00246,168.017958,4.110369,,,,,,,,20,20,100,100,0,0,0
neg_00247,228.993063,4.252220,,,,,,,,20,20,100,100,0,0,0
neg_00248,252.941106,4.310567,,,,,,,,18,20,90,100,0,0,0
neg_00249,413.070940,4.080974,,,,,,,,19,20,95,100,0,0,0
neg_00250,179.055878,4.203637,D-Fructose;D-Tagatose,D-Fructose|D-Tagatose,1A|1A,C6H12O6|C6H12O6,C00095|C00795,HMDB0000660|HMDB0003418,2723872|439312,20,20,100,100,0,1,1
neg_00251,194.946112,5.596774,,,,,,,,18,20,90,100,0,0,0
neg_00252,236.860803,14.577078,,,,,,,,20,20,100,100,0,0,0
neg_00253,114.055819,3.981059,L-Proline,L-Proline,1A,C5H9NO2,C00148,HMDB0000162,145742,20,20,100,100,0,1,1
neg_00254,174.022704,1.316738,,,,,,,,17,20,85,100,0,0,0
neg_00256,119.975908,5.093436,,,,,,,,20,20,100,100,0,0,0
neg_00257,222.043857,2.114533,,,,,,,,18,20,90,100,0,0,0
neg_00258,197.021691,4.725087,,,,,,,,20,20,100,100,0,0,0
neg_00259,172.957592,4.299977,,,,,,,,12,20,60,100,0,0,0
neg_00260,277.216757,1.047098,Gamma-linolenic acid,Gamma-linolenic acid,1A,C18H30O2,C06426,HMDB0003073,5280933,20,20,100,100,0,1,1
neg_00261,288.908470,4.300766,,,,,,,,18,20,90,100,0,0,0
neg_00262,154.915218,14.577960,,,,,,,,20,20,100,100,0,0,0
neg_00263,78.958913,5.599125,,,,,,,,20,20,100,100,0,0,0
neg_00264,96.921958,4.303678,,,,,,,,20,20,100,100,0,0,0
neg_00265,143.034721,2.167878,,,,,,,,15,20,75,100,0,0,0
neg_00266,99.045014,2.063845,,,,,,,,4,20,20,100,0,0,0
neg_00267,178.017680,2.524450,,,,,,,,20,20,100,100,0,0,0
neg_00268,91.021926,1.766190,,,,,,,,20,20,100,100,0,0,0
neg_00269,366.229527,1.262923,Cortisone (D7),,9X,,,,,20,20,100,100,1,1,0
neg_00270,215.009561,4.331120,,,,,,,,20,20,100,100,0,0,0
neg_00271,97.029317,1.168121,,,,,,,,20,20,100,100,0,0,0
neg_00272,164.071470,2.867126,L-Phenylalanine,L-Phenylalanine,1A,C9H11NO2,C00079,HMDB0000159,6140,20,20,100,100,0,1,1
neg_00273,216.033178,1.312543,,,,,,,,16,20,80,100,0,0,0
neg_00275,111.008584,5.292220,,,,,,,,19,20,95,100,0,0,0
neg_00276,195.050675,4.719759,Gluconic acid,D-Gluconic acid,4B,C6H12O7,C00257,HMDB0000625,10690,17,20,85,100,0,1,1
neg_00277,73.029371,1.438384,,,,,,,,19,20,95,100,0,0,0
neg_00278,771.515533,0.976218,,,,,,,,20,20,100,100,0,0,0
neg_00279,178.071833,3.311198,,,,,,,,20,20,100,100,0,0,0
neg_00280,115.003476,3.186297,,,,,,,,13,20,65,100,0,0,0
neg_00281,138.055758,2.061893,,,,,,,,13,20,65,100,0,0,0
neg_00282,173.024776,1.240258,,,,,,,,20,20,100,100,0,0,0
neg_00283,168.989092,1.091237,,,,,,,,20,20,100,100,0,0,0
neg_00285,219.046350,4.483235,,,,,,,,12,20,60,100,0,0,0
neg_00286,93.034408,1.488180,,,,,,,,19,20,95,100,0,0,0
neg_00287,256.095157,4.729555,,,,,,,,20,20,100,100,0,0,0
neg_00288,351.217142,1.121975,,,,,,,,20,20,100,100,0,0,0
neg_00290,256.926405,13.940395,,,,,,,,20,20,100,100,0,0,0
neg_00291,165.005035,4.022828,,,,,,,,18,20,90,100,0,0,0
neg_00292,697.290182,1.020463,,,,,,,,20,20,100,100,0,0,0
neg_00294,277.184120,1.036247,,,,,,,,20,20,100,100,0,0,0
neg_00295,332.915256,4.312636,,,,,,,,18,20,90,100,0,0,0
neg_00296,112.963079,1.337789,,,,,,,,12,20,60,100,0,0,0
neg_00297,211.882295,2.982110,,,,,,,,20,20,100,100,0,0,0
neg_00298,818.553842,1.077118,,,,,,,,20,20,100,100,0,0,0
neg_00299,239.128622,1.079042,,,,,,,,20,20,100,100,0,0,0
neg_00300,150.962224,13.942380,,,,,,,,20,20,100,100,0,0,0
neg_00301,180.033421,1.366222,,,,,,,,14,20,70,100,0,0,0
neg_00302,118.957430,14.574601,,,,,,,,20,20,100,100,0,0,0
neg_00303,168.025553,2.329815,,,,,,,,20,20,100,100,0,0,0
neg_00304,80.916676,4.151473,,,,,,,,20,20,100,100,0,0,0
neg_00305,276.798769,3.004413,,,,,,,,18,20,90,100,0,0,0
neg_00306,213.007642,1.911667,,,,,,,,15,20,75,100,0,0,0
neg_00307,384.000539,1.444663,,,,,,,,2,5,10,25,0,0,0
neg_00308,112.002056,1.391784,,,,,,,,4,20,20,100,0,0,0
neg_00309,102.055881,4.838641,4-Aminobutanoate,4-Aminobutyric acid,1B,C4H9NO2,C00334,HMDB0000112,119,20,20,100,100,0,1,1
